binKey Rlow Rhigh Mplow Mphigh
0_0_1 0.95 0.985 0 40
0_0_2 0.985 1 0 5
0_0_3 0.985 1 5 10
0_0_4 0.985 1 10 40
0_1_1 0.8 0.9 0 100
0_1_2 0.9 0.93 0 20
0_1_3 0.9 0.93 20 100
0_1_4 0.93 0.96 0 20
0_1_5 0.93 0.96 20 100
0_1_6 0.96 1 0 15
0_1_7 0.96 1 15 100
0_2_1 0.65 0.75 0 50
0_2_2 0.65 0.75 50 120
0_2_3 0.75 0.85 0 40
0_2_4 0.75 0.85 40 120
0_2_5 0.85 0.9 0 30
0_2_6 0.85 0.9 30 120
0_2_7 0.9 0.95 0 20
0_2_8 0.9 0.95 20 120
0_2_9 0.95 1 0 120
0_3_1 0.55 0.65 0 110
0_3_2 0.55 0.65 110 200
0_3_3 0.65 0.75 0 90
0_3_4 0.65 0.75 90 200
0_3_5 0.75 0.85 0 70
0_3_6 0.75 0.85 70 200
0_3_7 0.85 0.9 0 50
0_3_8 0.85 0.9 50 200
0_3_9 0.9 1 0 200
0_4_1 0.55 0.65 0 150
0_4_2 0.55 0.65 150 300
0_4_3 0.65 0.75 0 100
0_4_4 0.65 0.75 100 300
0_4_5 0.75 0.85 0 80
0_4_6 0.75 0.85 80 300
0_4_7 0.85 1 0 300
0_5_1 0.5 0.6 0 210
0_5_2 0.5 0.6 210 400
0_5_3 0.6 0.7 0 180
0_5_4 0.6 0.7 180 400
0_5_5 0.7 0.8 0 150
0_5_6 0.7 0.8 150 400
0_5_7 0.8 1 0 400
1_0_1 0.9 0.96 0 40
1_0_2 0.96 0.98 0 10
1_0_3 0.96 0.98 10 40
1_0_4 0.98 1 0 5
1_0_5 0.98 1 5 10
1_0_6 0.98 1 10 40
1_1_1 0.65 0.75 0 50
1_1_2 0.65 0.75 50 120
1_1_3 0.75 0.85 0 40
1_1_4 0.75 0.85 40 120
1_1_5 0.85 0.9 0 30
1_1_6 0.85 0.9 30 120
1_1_7 0.9 0.95 0 20
1_1_8 0.9 0.95 20 120
1_1_9 0.95 1 0 120
1_2_1 0.55 0.65 0 110
1_2_2 0.55 0.65 110 200
1_2_3 0.65 0.75 0 90
1_2_4 0.65 0.75 90 200
1_2_5 0.75 0.85 0 70
1_2_6 0.75 0.85 70 200
1_2_7 0.85 0.9 0 50
1_2_8 0.85 0.9 50 200
1_2_9 0.9 1 0 200
1_3_1 0.55 0.65 0 150
1_3_2 0.55 0.65 150 300
1_3_3 0.65 0.75 0 100
1_3_4 0.65 0.75 100 300
1_3_5 0.75 0.85 0 80
1_3_6 0.75 0.85 80 300
1_3_7 0.85 1 0 300
1_4_1 0.5 0.6 0 210
1_4_2 0.5 0.6 210 400
1_4_3 0.6 0.7 0 180
1_4_4 0.6 0.7 180 400
1_4_5 0.7 0.8 0 150
1_4_6 0.7 0.8 150 400
1_4_7 0.8 1 0 400
2_0_1 0.7 0.8 0 40
2_0_2 0.7 0.8 40 120
2_0_3 0.8 0.9 0 30
2_0_4 0.8 0.9 30 120
2_0_5 0.9 0.95 0 20
2_0_6 0.9 0.95 20 120
2_0_7 0.95 1 0 15
2_0_8 0.95 1 15 120
2_1_1 0.55 0.7 0 80
2_1_2 0.55 0.7 80 200
2_1_3 0.7 0.8 0 60
2_1_4 0.7 0.8 60 200
2_1_5 0.8 0.9 0 40
2_1_6 0.8 0.9 40 200
2_1_7 0.9 1 0 30
2_1_8 0.9 1 30 200
2_2_1 0.5 0.65 0 100
2_2_2 0.5 0.65 100 300
2_2_3 0.65 0.75 0 80
2_2_4 0.65 0.75 80 300
2_2_5 0.75 0.85 0 60
2_2_6 0.75 0.85 60 300
2_2_7 0.85 1 0 300
2_3_1 0.5 0.65 0 130
2_3_2 0.5 0.65 130 400
2_3_3 0.65 0.8 0 100
2_3_4 0.65 0.8 100 400
2_3_5 0.8 1 0 400
3_0_1 0.6 0.7 0 250
3_0_2 0.7 0.8 0 250
3_0_3 0.8 0.9 0 250
3_0_4 0.9 1 0 250
3_1_1 0.55 0.7 0 250
3_1_2 0.7 0.85 0 250
3_1_3 0.85 1 0 250
